,content,date,dateDay,dateMonth,dateYear,id,rating,userName
0,재미있게 읽었습니다.,20180705,05,07,2018,1,5,말랑제리
1,40을 바라보며 공감 공감 개공감~,20180917,17,09,2018,2,4,형진김
2,ㅋㅋㅋ 재밌다 이연정님 그건 인정합니다 ㅋㅋㅋ,20180812,12,08,2018,3,5,Google 사용자
3,틈틈히 가볍게 보기 좋은 책,20180719,19,07,2018,4,4,Minji Kim
4,공감 많이 됩니다 읽으면서 기뻤어요,20181012,12,10,2018,5,3,한한미정
5,대여가 없는게 아쉽네요,20180906,06,09,2018,6,3,나의봄
6,공감되는 부분이 너무 많아요,20180810,10,08,2018,7,5,Google 사용자
7,가볍게 쓰셨으나 깊이 생각하게 되었습니다,20180904,04,09,2018,8,5,최현수
8,경험과 현실에서 나오는 철학과 명언,20180827,27,08,2018,9,5,베지타맥스.vezitamax
9,그런 생각들이 요구될만한 가치의 시기이기도하네요.. 안타깝게도...,20180508,08,05,2018,10,2,김연경
10,무심코 생각없이 보다 푹 빠져버렸습니다~,20180810,10,08,2018,11,5,Google 사용자
11,생각이 많을때 읽기 좋은거 같아요~~,20181113,13,11,2018,12,4,박명희
12,친구만나 수다 듣 듯 읽었다,20180824,24,08,2018,13,5,aaron kim
13,"강철같은 가벼움이 느껴지는 책. 쉬는 날 몇시간 스낵처럼 읽기 좋다. 최근 느끼고 있었던 것들이 꽤 명쾌하게 정리되어 있으면서도 위트가 
느껴져서 좋았다",20180430,30,04,2018,14,4,kevin estoque
14,읽다보면 나도 모르게.. 실실 웃고 있는 나를 발견하게 된다.  영어로 번역해서 외국에 팔아 먹고 싶다..ㅋㅋ,20180806,06,08,2018,15,4,이연정
15,공감되는 부분들이 많았습니다.,20181018,18,10,2018,16,5,Subinmanj
16,"시작은 달랐지만, 결론은 다른책들과 비슷하네요. 그래도 좀 지치고 심심할 때 읽어보면 좋은거 같아요!!",20200118,18,01,2020,17,3,Hyeongcheol Ryu
17,너무 고민하지 않으면서 재미나게 읽힌다. 그러나 때로 심각하게 인생을 돌아볼 수 있게 해주는 기회를 주었다,20190320,20,03,2019,18,5,황순진
18,드라마 같은 내용이지만 현실적으로 와닿는 스토리 심장이 웃고 힐링되는듯하다,20190516,16,05,2019,19,5,곽화순
19,언제까지 열심히 살아야 하나... 작가님 저랑 비슷한 성격이시네요,20180910,10,09,2018,20,5,백건우
20,골프에선 어깨에 힘빼는데 3년은 걸린다는 말이있다.. 힘을 빼야 정확한 임팩을 할수가 있고 좋은 스윙이 나온다.. 이책을 읽고 인생도 힘빼기가 필요하구나 생각이 든다.. 그런데 얼마나 걸릴지는 모르겠다!,20181011,11,10,2018,21,5,Kukryul Oh
21,너무 기대하진 마라,20181106,06,11,2018,22,3,LH EOM
22,열심히 살지 않으면 인정받지 못하고 있다면 뭔가 잘못살고 있다는 생각에서 벗어나게 해주는 스스로의 삶을 찾아 방향을 잡을 수 있는 계기를 만들어 주는 책,20190210,10,02,2019,23,5,김동한
23,열심이 아닌 즐김을,20180928,28,09,2018,24,4,Google 사용자
24,하마터면 열심히 읽을뻔했다..,20181015,15,10,2018,25,4,syosi Song
25,"대입 4수에 백수생활 3년, 그리고 변변찮은 소기업 입사한 작가가 쓰는 그야말로 자기 합리화의 절정.",20181019,19,10,2018,26,1,서예거
26,근데 이 책은 혹시 열심히 쓰시지 않으셨나 궁금합니다. 읽어보고 확인해 봐야겠네요,20210625,25,06,2021,27,3,Pedro Park
27,나도 그림 좋아하는데,20191019,19,10,2019,28,5,Clown
28,내가 정말 하고싶어서 시작한 일이 나를 힘들게한 시기에 조금 마음을 내려놓고 좋아하고 있는 일을 하고있다는것에 감사함을 느끼게만들어준 책,20190429,29,04,2019,29,5,이동준
29,지대로 사는 방법의 지침서..,20200428,28,04,2020,30,5,Seungsun Kim
30,눋ㄴㅍㄷㆍㄷㄴㅂ,20201206,06,12,2020,31,5,youngnyea park
31,사고싶네용..ㅠㅜ도서관에서 빌려왔지만 너무 재미있었어용~!생일때 살려구용!,20190403,03,04,2019,32,5,베니A
32,꿈꾸던대로 되지 못해도 훌훌 털고 내 삶에서 행복을 찾을 수 있다는것이 새롭게 다가왔습니다. 꿈을 쫒는 삶보다 내 삶을 더 사랑하는것이 중요하다는 것을 깨닫고 갑니다.,20181213,13,12,2018,33,5,Alice Oh
33,오징어 땅콩같은 책 의미는 개나 줘라,20180914,14,09,2018,34,4,이이영주
34,ㆍ느극ㅂㄷㄴㅂㄷ눅,20210119,19,01,2021,35,5,박현수
35,바쁘게 앞만보고 달려온 삶을 되돌아보게 됩니다,20181024,24,10,2018,36,4,김대회
36,ㅌㅈㅌ,20201105,05,11,2020,37,5,bok nam seo
37,무료샘플 재밌게 보고 샀어요.ㅎㅎ,20181018,18,10,2018,38,5,ᄋᄋ
38,별 의미없다,20190619,19,06,2019,39,1,Drock
39,앞으로 어떻게 살아야 할지 고민하는 나에게 조금이나마 방향을 알려줘서 고맙습니다!,20180930,30,09,2018,40,5,조광용
40,좋아요,20180814,14,08,2018,41,5,Google 사용자
41,굿,20181110,10,11,2018,42,5,양예술
42,여운이 많이 남는 책이네요,20180922,22,09,2018,43,4,이이상문
43,ㅌㅈㅌ,20201105,05,11,2020,44,5,bok nam seo
44,공감이 가요,20181001,01,10,2018,45,5,Google 사용자
45,추천해요,20180915,15,09,2018,46,5,Google 사용자
46,좋은 책이네요,20181001,01,10,2018,47,5,추억돋네
47,비소로......,20180825,25,08,2018,48,4,Google 사용자
48,괜찮네요,20190419,19,04,2019,49,4,오석민
