wav_id,발화문,상황
5f4141e29dd513131eacee2f,아내가 드디어 출산하게 되어서 정말 신이 나.,happiness
5f4141f59dd513131eacee30,재취업이 돼서 받게 된 첫 월급으로 온 가족이 외식을 할 예정이야. 너무 행복해.,happiness
5f4142119dd513131eacee31,빚을 드디어 다 갚게 되어서 이제야 안도감이 들어.,happiness
5f4142279dd513131eacee32,남편이 죽기 전에 손자들 얼굴 보고 싶다고 했는데 다행히 늦지 않아서 안도했어.,happiness
5f3c9ed98a3c1005aa97c4bd,친구가 사준 로또가 당첨이 됐어.,happiness
5f3c9ef78a3c1005aa97c4be,시험을 잘 보지 못해서 부모님께 혼날까 봐 걱정했는데 오히려 다독여 주셔서 다행이야.,happiness
5f3c9f658a3c1005aa97c4c7,나 이번에 남자친구 생겼어.,happiness
5f3c9f808a3c1005aa97c4c8,연락이 끊겼던 친구랑 만나기로 했어. 정말 기뻐.,happiness
5f3c9f9c8a3c1005aa97c4cb,얼마 전 면접 본 회사에서 합격했다고 오늘 연락이 왔어. 너무 신나.,happiness
5f3c9fcc8a3c1005aa97c4ce,아들 녀석 때문에 온 집안이 난리였어.,happiness
5f3ca01b8a3c1005aa97c4d3,선생님이 학교 폭력 가해자 학생들을 불러 처벌하시고 혼내주셔서 너무 통쾌하고 짜릿해.,happiness
5f3ca06b8a3c1005aa97c4da,비만이라고 걱정만 하지 말고 걷기만 해도 체중이 빠지니 기분이 좋아.,happiness
5f3ca09d8a3c1005aa97c4df,아빠가 최신형 컴퓨터를 사줬어. 너무 기뻐.,happiness
5f3ca4778a3c1005aa97c50d,오늘 수학점수가 많이 올라서 엄마에게 보여드렸더니 칭찬을 받았어.,happiness
5f3ca4a28a3c1005aa97c510,병이 있어도 내 집이 있으니 아직은 편안하고 기쁘네.,happiness
5f3ca4cf8a3c1005aa97c515,정년퇴직을 하게 되었어. 노후 준비를 다 해놔서 그런지 두렵지 않아. 너무 기뻐.,happiness
5f4142459dd513131eacee33,이제는 자식들이 내게 용돈을 달라고 하지 않는 것으로 만족해.,happiness
5f41426d9dd513131eacee35,오늘 회사에서 보너스가 나와서 소고기를 사 먹을 거야!,happiness
5f4142819dd513131eacee36,친구가 좋은 사람과 연애하는 거 같아 다행이야.,happiness
5f41429f9dd513131eacee37,요새 코로나로 일자리가 많이 부족한 것 같아.,happiness
5f4142c09dd513131eacee38,과거에 연금 저축을 많이 들어둔 게 참 다행이야.,happiness
5f4142e09dd513131eacee39,동네에 산책로가 생겨서 걷기 운동하기가 좋아.,happiness
5f4143a89dd513131eacee3b,애인이 생겼어! 첫 남자친구야.,happiness
5f4143c09dd513131eacee3c,노인정에서 제일 건강한 사람으로 뽑혀 기분이 좋아.,happiness
5f4143e09dd513131eacee3d,내가 투자한 주식이 있는데 이번에 몇백 배나 올라서 너무 기뻐!,happiness
5f4143fa9dd513131eacee3e,우리 회사에는 휘트니스 센터가 있어서 꾸준히 운동을 했는데 이게 건강에 도움이 많이 됐어.,happiness
5f4144189dd513131eacee3f,고장 난 노트북을 고치는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐.,happiness
5f41443c9dd513131eacee41,대인관계가 만족스러워.,happiness
5f4144529dd513131eacee42,담임선생님에게 고민을 이야기하면 마음이 편해져.,happiness
5f41446c9dd513131eacee43,대학 동기 중에 문화예술 공기업을 목표로 삼 년 동안 취업 준비를 하던 친구가 있었는데 드디어 취업에 성공했대!,happiness
5f4144ad9dd513131eacee45,오늘 정말 큰일 날 뻔했어. 화장실에 갔는데 휴지가 없는 거야.,happiness
5f4144c69dd513131eacee46,어제 가족들에게 따돌림에 대해 말씀드렸더니 가족들이 응원해준다고 했어. 그래서 지금 매우 기뻐.,happiness
5f4144f69dd513131eacee48,다행스럽게 이번 보직변경에 내가 포함되지 않았어.,happiness
